name,titel,sex,country 1,country 2,line of succession,interest 1,science and technology,social clubs,royal foundation,professional institutions,history and heritage,sport and recreation,healthcare medical and hospices,faith,built environment and architecture,business and industry,arts and culture,armed services,animals,children and young people,environment,agriculture,elderly and retired people,education,community and civic,religion,type,royalhouse
shic,Suttons Hospital in Charterhouse,,british,,,elderly and retired people,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,
cl,Cumberland Lodge,,british,,,education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,
kcl,Kings College London,,british,,,education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,
rafcc,Royal Air Force College Cranwell,,british,,,education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,
taocu,The Association of Commonwealth Universities,,british,,,education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,
fac,Family Action,,british,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
mu,Mothers Union,,british,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
npf,Newspaper Press Fund,,british,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
rhs,Royal Humane Society,,british,,,community and civic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,
PC,Prince Charles,male ,british,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anglican,0,british
qdg,1st The Queens Dragoon Guards,,british,,,armed services ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
btrros,51st Highland 7th Battalion The Royal Regiment of Scotland,,british,,,armed services ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
ba,British Army,,british,,,armed services ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
ca,Canadian Army,,british,canadian,,armed services,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
cwh,Canadian Warplane Heritage,,british,canadian,,armed services ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,
